
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2010-07-04;23.038,33;3098522792388;23.549,34;3117170428212;23.730,20;2978657004890;22.216,75;257965075924;23.893,50;3458884052832
2010-07-05;22.935,95;3083085897540;23.462,59;3103157220375;23.653,99;2967118251398;22.158,12;257230699571;23.803,05;3444627771105
2010-07-06;22.925,99;3080045407849;23.466,76;3101761431818;23.618,41;2960816116635;22.162,82;261594912131;23.796,46;3440169089820
2010-07-07;23.093,20;3101560734449;23.636,86;3122074107369;23.801,64;2982616481976;22.343,96;263749120458;23.974,89;3464969627796
2010-07-08;23.323,04;3129917866039;23.857,60;3149756212332;24.047,89;3012518192619;22.560,01;266254025457;24.228,90;3501678113213
2010-07-09;23.530,41;3157301625341;24.068,72;3177465948545;24.228,47;3034781667337;22.743,17;268349462423;24.442,09;3532587656854
2010-07-10;23.530,41;3157301625341;24.068,72;3177465948545;24.228,47;3034781667337;22.743,17;268349462423;24.442,09;3532587656854
2010-07-11;23.530,41;3157301625341;24.068,72;3177465948545;24.228,47;3034781667337;22.743,17;268349462423;24.442,09;3532587656854
2010-07-12;23.716,52;3182562614336;24.268,19;3204724109272;24.410,17;3058767568160;22.934,36;270608904065;24.644,63;3564337618503
2010-07-13;23.760,30;3189282570343;24.315,11;3213184554172;24.440,88;3063532261589;22.952,57;270682265073;24.672,31;3570315589473
2010-07-14;23.849,38;3203656912480;24.395,96;3229797370834;24.498,92;3075236685079;23.041,52;271802765579;24.763,57;3583363561939
2010-07-15;23.898,79;3212682655974;24.444,42;3248201483230;24.578,62;3092899634531;23.086,15;268094016082;24.821,95;3589246024725
2010-07-16;23.898,79;3212682655974;24.444,42;3248201483230;24.578,62;3092899634531;23.086,15;268094016082;24.821,95;3589246024725
2010-07-17;23.898,79;3212682655974;24.444,42;3248201483230;24.578,62;3092899634531;23.086,15;268094016082;24.821,95;3589246024725
